"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 18:14:17 UTC 2026","Thu Apr 16 18:14:18 UTC 2026","232","","com.qatest.posts.PostTest","","com.qatest.posts.PostTest","addPostTest","addPostTest()",""
"passed","Thu Apr 16 18:14:16 UTC 2026","Thu Apr 16 18:14:16 UTC 2026","226","","com.qatest.carts.CartTest","","com.qatest.carts.CartTest","getCartNotFoundTest","getCartNotFoundTest()",""
"passed","Thu Apr 16 18:14:19 UTC 2026","Thu Apr 16 18:14:19 UTC 2026","249","","com.qatest.products.ProductTest","","com.qatest.products.ProductTest","searchProductTest","searchProductTest()",""
"passed","Thu Apr 16 18:14:18 UTC 2026","Thu Apr 16 18:14:18 UTC 2026","186","","com.qatest.posts.PostTest","","com.qatest.posts.PostTest","getPostCommentsTest","getPostCommentsTest()",""
"passed","Thu Apr 16 18:14:18 UTC 2026","Thu Apr 16 18:14:18 UTC 2026","223","","com.qatest.posts.PostTest","","com.qatest.posts.PostTest","getPostNotFoundTest","getPostNotFoundTest()",""
"passed","Thu Apr 16 18:14:16 UTC 2026","Thu Apr 16 18:14:16 UTC 2026","273","","com.qatest.carts.CartTest","","com.qatest.carts.CartTest","getCartsTest","getCartsTest()",""
"passed","Thu Apr 16 18:14:19 UTC 2026","Thu Apr 16 18:14:19 UTC 2026","252","","com.qatest.products.ProductTest","","com.qatest.products.ProductTest","patchProductTest","patchProductTest()",""
"passed","Thu Apr 16 18:14:12 UTC 2026","Thu Apr 16 18:14:12 UTC 2026","202","","com.qatest.users.UserTest","","com.qatest.users.UserTest","searchUserTest","searchUserTest()",""
"passed","Thu Apr 16 18:14:14 UTC 2026","Thu Apr 16 18:14:15 UTC 2026","598","","com.qatest.auth.AuthMeTest","","com.qatest.auth.AuthMeTest","addUserTest","addUserTest()",""
"passed","Thu Apr 16 18:14:13 UTC 2026","Thu Apr 16 18:14:13 UTC 2026","248","","com.qatest.auth.LoginTest","","com.qatest.auth.LoginTest","happyPathTest","happyPathTest()",""
"passed","Thu Apr 16 18:14:18 UTC 2026","Thu Apr 16 18:14:18 UTC 2026","141","","com.qatest.products.ProductTest","","com.qatest.products.ProductTest","getProductsTest","getProductsTest()",""
"passed","Thu Apr 16 18:14:13 UTC 2026","Thu Apr 16 18:14:14 UTC 2026","646","","com.qatest.auth.LoginTest","","com.qatest.auth.LoginTest","plainBodyTest","plainBodyTest()",""
"passed","Thu Apr 16 18:14:10 UTC 2026","Thu Apr 16 18:14:11 UTC 2026","319","","com.qatest.users.UserTest","","com.qatest.users.UserTest","addUserTest","addUserTest()",""
"passed","Thu Apr 16 18:14:16 UTC 2026","Thu Apr 16 18:14:16 UTC 2026","155","","com.qatest.carts.CartTest","","com.qatest.carts.CartTest","cartTotalConsistencyTest","cartTotalConsistencyTest()",""
"passed","Thu Apr 16 18:14:17 UTC 2026","Thu Apr 16 18:14:17 UTC 2026","245","","com.qatest.posts.PostTest","","com.qatest.posts.PostTest","getPostTest","getPostTest()",""
"passed","Thu Apr 16 18:14:16 UTC 2026","Thu Apr 16 18:14:16 UTC 2026","194","","com.qatest.carts.CartTest","","com.qatest.carts.CartTest","getCartProductsTest","getCartProductsTest()",""
"passed","Thu Apr 16 18:14:11 UTC 2026","Thu Apr 16 18:14:11 UTC 2026","267","","com.qatest.users.UserTest","","com.qatest.users.UserTest","getUsersTest","getUsersTest()",""
"passed","Thu Apr 16 18:14:15 UTC 2026","Thu Apr 16 18:14:15 UTC 2026","275","","com.qatest.auth.AuthMeTest","","com.qatest.auth.AuthMeTest","authTest","authTest()",""
"passed","Thu Apr 16 18:14:19 UTC 2026","Thu Apr 16 18:14:19 UTC 2026","159","","com.qatest.products.ProductTest","","com.qatest.products.ProductTest","getProductsWithLimitTest","getProductsWithLimitTest()",""
"passed","Thu Apr 16 18:14:14 UTC 2026","Thu Apr 16 18:14:14 UTC 2026","242","","com.qatest.auth.LoginTest","","com.qatest.auth.LoginTest","sqlInjectionTest","sqlInjectionTest()",""
"passed","Thu Apr 16 18:14:11 UTC 2026","Thu Apr 16 18:14:11 UTC 2026","380","","com.qatest.users.UserTest","","com.qatest.users.UserTest","getUsersWithFilterTest","getUsersWithFilterTest()",""
"passed","Thu Apr 16 18:14:12 UTC 2026","Thu Apr 16 18:14:12 UTC 2026","381","","com.qatest.users.UserTest","","com.qatest.users.UserTest","getUserByIdTest","getUserByIdTest()",""
"passed","Thu Apr 16 18:14:18 UTC 2026","Thu Apr 16 18:14:19 UTC 2026","164","","com.qatest.products.ProductTest","","com.qatest.products.ProductTest","deleteProductTest","deleteProductTest()",""
"passed","Thu Apr 16 18:14:13 UTC 2026","Thu Apr 16 18:14:13 UTC 2026","292","","com.qatest.auth.LoginTest","","com.qatest.auth.LoginTest","wrongPasswordTest","wrongPasswordTest()",""
"passed","Thu Apr 16 18:14:11 UTC 2026","Thu Apr 16 18:14:12 UTC 2026","286","","com.qatest.users.UserTest","","com.qatest.users.UserTest","updateUserTest","updateUserTest()",""
